Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Business,BUS,BUS 27,1309,COPLEN J S,12.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,31
Business,BUS,BUS 28,1310,COPLEN J S,15.0,10.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,45
Business,BUS,BUS 31,1311,PAIK R,6.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,24
Business,BUS,BUS 31,1312,SANTILLANES A,2.0,5.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,25
Business,BUS,BUS 32,1313,PAIK R,10.0,6.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,27
Business,BUS,BUS 32,1314,SEDKY S M,14.0,9.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,31
Business,BUS,BUS 32,1315,MCCLUSKEY T,15.0,7.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,28
Business,BUS,BUS 32,1316,MCCLUSKEY T,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Business,BUS,BUS 32,1318,WELTON M,14.0,13.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,34
Business,BUS,BUS 32,1319,JUNG D,3.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,24
Business,BUS,BUS 32,1320,JUNG D,3.0,4.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,19
Business,BUS,BUS 32,1321,SOUCY S H,15.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23
Business,BUS,BUS 32,1322,SOUCY S H,5.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20
Business,BUS,BUS 32,1323,SOUCY S H,3.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,15
Business,BUS,BUS 34,1324,HAIG J D,23.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,41
Business,BUS,BUS 34,4469,WILLIAMS AY,18.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Business,BUS,BUS 45,1325,RESNICK W J,5.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,24
Business,BUS,BUS 45,1326,BROWN M W,6.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18
Business,BUS,BUS 45,1327,RESNICK W J,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,21
Business,BUS,BUS 45,1328,RESNICK W J,12.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,20
Business,BUS,BUS 46,1329,SHISHIDO K M,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,31
Business,BUS,BUS 46,4064,SENKO E A,7.0,6.0,3.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,12.0,37
Business,BUS,BUS 47,1330,RESNICK W J,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,14
Business,BUS,BUS 47,1331,RESNICK W J,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9
Business,BUS,BUS 47,1332,LU M,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
Business,BUS,BUS 50,4065,ALEXANDER J S,5.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,20
Business,BUS,BUS 51,1333,WELTON M,16.0,9.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,37
Business,BUS,BUS 52,1334,MANDELBAUM A B,12.0,11.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,34
Business,BUS,BUS 53,3420,RODRIGUEZ K P,9.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,26
Business,BUS,BUS 62,1335,BABCOCK L G,12.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34
Business,BUS,BUS 63,1337,CLAUSEN A I,7.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,28
Business,BUS,BUS 63,4067,ALEXANDER J S,9.0,6.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,31
Business,BUS,BUS 65,1338,ROCKWELL C,27.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,41
Business,BUS,BUS 80,1339,RODRIGUEZ K P,15.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,34
Business,BUS,BUS 81,1340,ROGERS T A,14.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,29
Business,BUS,BUS 82,1341,EVERETT K M,11.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,23
Business,BUS,BUS 83,1342,ROGERS T A,11.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,31
Business,COUNS,COUNS 47,1680,LU M,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9
Business,COUNS,COUNS 47,1681,RESNICK W J,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
Business,COUNS,COUNS 47,1682,RESNICK W J,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,12
Communication and Media Studies,COM ST,COM ST 9,1455,RUH C,7.0,13.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,33
Communication and Media Studies,COM ST,COM ST 9,1456,HEMMERT S B,23.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32
Communication and Media Studies,COM ST,COM ST 11,1457,OGATA D K,35.0,9.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,52
Communication and Media Studies,COM ST,COM ST 11,1458,MARTIN B S,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27
Communication and Media Studies,COM ST,COM ST 11,1459,WHIDDEN A R,10.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
Communication and Media Studies,COM ST,COM ST 11,1460,BERMUDEZ JR N A,31.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Communication and Media Studies,COM ST,COM ST 11,1461,BERMUDEZ JR N A,28.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,39
Communication and Media Studies,COM ST,COM ST 11,1462,OGATA D K,38.0,7.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,50
Communication and Media Studies,COM ST,COM ST 11,1463,MARTIN B S,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27
Communication and Media Studies,COM ST,COM ST 11,1464,JUNIUS J A,5.0,5.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,35
Communication and Media Studies,COM ST,COM ST 11,1465,RUH C,7.0,11.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,36
Communication and Media Studies,COM ST,COM ST 11,1466,WHIDDEN A R,11.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Communication and Media Studies,COM ST,COM ST 11,1467,MCNAMARA C V,15.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,38
Communication and Media Studies,COM ST,COM ST 11,1468,FARSCHMAN K V,9.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,34
Communication and Media Studies,COM ST,COM ST 11,1469,JUNIUS J A,14.0,15.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,38
Communication and Media Studies,COM ST,COM ST 11,1470,BROCCARD D,2.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,32
Communication and Media Studies,COM ST,COM ST 11,1471,BROWN N A,13.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26
Communication and Media Studies,COM ST,COM ST 11,1472,JUNIUS J A,5.0,8.0,12.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,37
Communication and Media Studies,COM ST,COM ST 11,1473,MCNAMARA C V,15.0,14.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,39
Communication and Media Studies,COM ST,COM ST 11,1474,GHARABIGHI A,25.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38
Communication and Media Studies,COM ST,COM ST 11,1475,OGATA D K,37.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,54
Communication and Media Studies,COM ST,COM ST 11,1476,PRESTON B L,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
Communication and Media Studies,COM ST,COM ST 11,1477,PRESTON B L,25.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
Communication and Media Studies,COM ST,COM ST 11,1478,BROCCARD D,5.0,11.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,36
