Department,Subject,Course,Section,Instructor,A,B,C,D,F,IX,NP,P,RD,W,Total
Communication and Media Studies,FILM,FILM 2,2390,KANIN J D,9.0,55.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,81
Communication and Media Studies,FILM,FILM 2,4221,CARRASCO S,14.0,14.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,40
Communication and Media Studies,FILM,FILM 5,2391,KANIN J D,35.0,33.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,87
Communication and Media Studies,FILM,FILM 5,4222,ROSENBERG V L,8.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,31
Communication and Media Studies,FILM,FILM 6,2392,HUNT S E,12.0,11.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,32
Communication and Media Studies,FILM,FILM 7,2393,CARRASCO S,23.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33
Communication and Media Studies,FILM,FILM 8,2394,CRUM J,9.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,27
Communication and Media Studies,FILM,FILM 8,4223,KANIN J D,24.0,40.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,84
Communication and Media Studies,FILM,FILM 9,2395,LAFFEY S A,8.0,6.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,24
Communication and Media Studies,FILM,FILM 9,4224,LEECH M R,14.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,31
Communication and Media Studies,FILM,FILM 11,2396,POIRIER N P,29.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,37
Communication and Media Studies,FILM,FILM 20,2397,MATTHEWS M N,9.0,8.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,28
Communication and Media Studies,FILM,FILM 20,4225,ROSENTHAL L,26.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33
Communication and Media Studies,FILM,FILM 20,4226,MATTHEWS M N,7.0,6.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,29
Communication and Media Studies,FILM,FILM 21,4227,MATTHEWS M N,9.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,23
Communication and Media Studies,FILM,FILM 21,4228,BIRNBAUM M J,7.0,6.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,25
Communication and Media Studies,FILM,FILM 30,2398,DANIELS R,20.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,32
Communication and Media Studies,FILM,FILM 30,4229,DANIELS R,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20
Communication and Media Studies,FILM,FILM 31,2399,BARTESAGHI S,23.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,38
Communication and Media Studies,FILM,FILM 31,2400,BARTESAGHI S,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36
Communication and Media Studies,FILM,FILM 32,2401,CARRASCO S,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
Communication and Media Studies,FILM,FILM 32L,2402,CARRASCO S,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
Communication and Media Studies,FILM,FILM 33,2403,CARRASCO S,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22
Communication and Media Studies,FILM,FILM 33L,2404,CARRASCO S,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21
