Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Art,ART,ART 20A,1200,HATTON C,10,2,3,0.0,3,0.0,0.0,0.0,0.0,0.0,5,23
Art,ART,ART 20A,3350,SIMON D L,5,1,3,1,5,0.0,1,0.0,0.0,0.0,9,25
Art,ART,ART 20A,3411,GONZALES L,11,4,0.0,1,6,0.0,0.0,0.0,0.0,0.0,5,27
Art,ART,ART 20A,3437,MACKAY A C,8,4,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,4,21
Art,ART,ART 20A,3479,SIMON D L,2,5,2,0.0,4,0.0,0.0,1,0.0,1,5,20
Art,ART,ART 20A,3584,YOSHIDA M M,9,2,2,0.0,9,0.0,0.0,0.0,0.0,0.0,3,25
Art,ART,ART 20A,3585,YOSHIDA M M,8,2,4,0.0,14,0.0,0.0,0.0,0.0,0.0,3,31
Art,ART,ART 20B,1201,HATTON C,12,5,2,0.0,4,1,0.0,0.0,0.0,0.0,2,26
Art,ART,ART 20B,1202,KARLSEN A M,9,6,4,0.0,3,0.0,0.0,0.0,0.0,0.0,4,26
Art,ART,ART 20B,3389,CHOW P,7,9,4,0.0,6,0.0,0.0,0.0,0.0,0.0,3,29
Art,ART,ART 20B,4020,MAMMARELLA C J,5,3,0.0,1,1,0.0,0.0,0.0,0.0,0.0,4,14
Art,ART,ART 21A,1203,TRUJILLO M E,11,7,4,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,24
Art,ART,ART 21A,1204,TRUJILLO M E,10,8,2,0.0,1,0.0,1,0.0,0.0,0.0,3,25
Art,ART,ART 21A,1205,MAMMARELLA C J,14,3,5,0.0,0.0,1,0.0,1,0.0,0.0,2,26
Art,ART,ART 21A,4021,KOMPANEYETS M,7,0.0,4,1,0.0,3,0.0,0.0,0.0,0.0,6,21
Art,ART,ART 21A,4244,DE ANDA III I,5,7,4,1,0.0,0.0,0.0,0.0,0.0,0.0,2,19
Art,ART,ART 21B,1206,TRUJILLO M E,12,5,2,0.0,0.0,0.0,1,0.0,0.0,0.0,2,22
Art,ART,ART 30A,1207,AARONS R R,7,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,6,16
Art,ART,ART 30A,1208,SHIBATA J M,15,3,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,20
Art,ART,ART 30A,1209,AARONS R R,14,5,1,1,0.0,0.0,0.0,1,0.0,0.0,2,24
Art,ART,ART 30B,1210,AARONS R R,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Art,ART,ART 30C,1211,OTA N T,7,3,2,0.0,4,0.0,1,0.0,0.0,0.0,7,24
Art,ART,ART 31,1212,TRUJILLO M E,12,1,2,0.0,1,1,0.0,0.0,0.0,0.0,4,21
Art,ART,ART 31,1213,HATTON C,10,0.0,1,1,1,2,0.0,0.0,0.0,0.0,3,18
Art,ART,ART 31,1214,ZARCONE J,6,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3,10
Art,ART,ART 31,3412,CHOW P,11,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,15
Art,ART,ART 32,1215,ZARCONE J,2,1,4,0.0,2,0.0,0.0,0.0,0.0,0.0,1,10
Art,ART,ART 32,3413,CHOW P,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,9
Art,ART,ART 34A,1216,ZARCONE J,7,1,0.0,0.0,3,1,0.0,0.0,0.0,0.0,3,15
Art,ART,ART 34B,1217,ZARCONE J,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
Art,ART,ART 40A,1218,SILVER E M,15,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2,25
Art,ART,ART 40B,1219,SILVER E M,9,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,2,15
Art,ART,ART 40C,1220,SILVER E M,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
Art,ART,ART 41A,1221,FRANTZ R,16,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,4,22
Art,ART,ART 43A,1222,BROMBERG T L,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12
Art,ART,ART 43B,1223,BROMBERG T L,6,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,10
Art,ART,ART 52A,1224,JERVIS D,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15
Art,ART,ART 52A,3369,HACKERMAN I R,19,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,23
Art,ART,ART 52A,3476,JIMENEZ J A,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14
Art,ART,ART 52A,4022,GONZALES L,10,3,0.0,1,0.0,0.0,1,0.0,0.0,0.0,7,22
Art,ART,ART 52A,4247,SANTANA T L,9,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,4,17
Art,ART,ART 52B,1226,FRANTZ R,19,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,2,24
Art,ART,ART 52B,3433,JERVIS D,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,14
Art,ART,ART 52B,3477,JIMENEZ J A,5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Art,ART,ART 52C,3434,JERVIS D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8
Art,ART,ART 60,4023,THOMASON M M,5,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,6,15
Art,ART,ART 60B,4248,NELSON H,7,3,1,0.0,1,0.0,1,0.0,0.0,0.0,4,17
Art,ART,ART 62,4249,THOMASON M M,10,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,4,18
Art,ART,ART 74,1227,BADGER C P,7,0.0,1,0.0,5,0.0,0.0,0.0,0.0,0.0,4,17
