Department,Subject,Course,Section,Instructor,A,B,C,D,F,NP,P,IX,RD,EW,W,Total
Art,AHIS,AHIS 2,1095,WASHINGTON T L,21,7,2,0.0,5,0.0,0.0,0.0,0.0,0.0,3,38
Art,AHIS,AHIS 2,3617,DONAHUE N J,36,0.0,0.0,0.0,2,0.0,1,0.0,0.0,0.0,3,42
Art,AHIS,AHIS 2,4008,GREINER KA,18,5,2,0.0,9,0.0,0.0,0.0,0.0,0.0,4,38
Art,AHIS,AHIS 3,1096,MIHAYLOVICH K W,23,6,3,2,3,0.0,0.0,0.0,0.0,0.0,5,42
Art,AHIS,AHIS 3,1097,DONAHUE N J,32,1,0.0,1,3,0.0,1,3,0.0,0.0,4,45
Art,AHIS,AHIS 5,1098,SIMMONS B B,27,11,1,0.0,10,0.0,0.0,0.0,0.0,0.0,1,50
Art,AHIS,AHIS 5,1099,SIMMONS B B,36,3,1,1,7,0.0,0.0,0.0,0.0,0.0,2,50
Art,AHIS,AHIS 5,3619,SIMMONS B B,25,3,5,0.0,11,0.0,0.0,1,0.0,0.0,3,48
Art,AHIS,AHIS 6,1100,RODRIGUEZ K,19,4,3,2,10,0.0,0.0,0.0,0.0,0.0,4,42
Art,AHIS,AHIS 11,1101,KARMEL L V,22,6,1,1,6,0.0,0.0,0.0,0.0,0.0,1,37
Art,AHIS,AHIS 11,1102,RODRIGUEZ K,22,7,2,2,9,0.0,0.0,0.0,0.0,0.0,1,43
Art,AHIS,AHIS 11,1103,THAYER J,13,4,1,2,4,0.0,1,0.0,0.0,0.0,4,29
Art,AHIS,AHIS 11,1104,LEE O,18,11,3,0.0,6,0.0,0.0,0.0,0.0,0.0,3,41
Art,AHIS,AHIS 11,1105,AHMADPOUR A,15,6,3,0.0,4,0.0,1,9,0.0,0.0,1,39
Art,AHIS,AHIS 11,1106,SENARATH GAMAGE,24,3,1,1,8,0.0,0.0,0.0,0.0,0.0,3,40
Art,AHIS,AHIS 17,1107,SENARATH GAMAGE,23,4,2,2,2,0.0,0.0,2,0.0,0.0,10,45
Art,AHIS,AHIS 17,1108,LEZO A L,36,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
Art,AHIS,AHIS 18,1109,SIMMONS B B,28,2,3,0.0,9,0.0,0.0,1,0.0,0.0,3,46
Art,AHIS,AHIS 18,3618,SIMMONS B B,27,3,1,0.0,13,0.0,1,0.0,0.0,0.0,5,50
Art,AHIS,AHIS 21,1110,ROCCHIO M P,20,7,1,1,7,0.0,1,0.0,0.0,0.0,5,42
Art,AHIS,AHIS 22,1111,ROCCHIO M P,28,5,1,0.0,6,0.0,1,0.0,0.0,0.0,5,46
Art,AHIS,AHIS 52,1112,DASTIN E R,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Art,AHIS,AHIS 52,4009,DASTIN E R,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,5
Art,AHIS,AHIS 72,1113,RODRIGUEZ K,14,9,1,3,6,0.0,0.0,0.0,0.0,0.0,5,38
Art,AHIS,AHIS 72,1114,MIHAYLOVICH K W,11,14,6,1,3,0.0,0.0,0.0,0.0,0.0,7,42
Art,ART,ART 10A,1170,ARUTIAN C L,6,3,2,1,2,0.0,0.0,0.0,0.0,0.0,10,24
Art,ART,ART 10A,1171,WHEAT N R,18,3,1,0.0,4,0.0,0.0,0.0,0.0,1,3,30
Art,ART,ART 10A,1172,HUERTA R B,7,3,3,0.0,9,0.0,0.0,0.0,0.0,0.0,6,28
Art,ART,ART 10A,1173,MITCHELL R,14,4,2,0.0,1,0.0,0.0,0.0,0.0,0.0,8,29
Art,ART,ART 10A,1174,CRAFT E J,13,4,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,1,25
Art,ART,ART 10A,1175,KARLSEN A M,14,5,2,1,5,0.0,0.0,0.0,0.0,0.0,2,29
Art,ART,ART 10A,1176,BURCHMAN J H,17,3,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1,25
Art,ART,ART 10A,1177,MITCHELL R,12,5,3,1,2,0.0,0.0,0.0,0.0,0.0,5,28
Art,ART,ART 10A,1178,CRAFT E J,9,5,4,3,5,0.0,0.0,0.0,0.0,0.0,0.0,26
Art,ART,ART 10A,1179,KARLSEN A M,11,3,1,0.0,7,0.0,0.0,0.0,0.0,0.0,5,27
Art,ART,ART 10A,1180,KARLSEN A M,13,5,1,3,3,0.0,0.0,0.0,0.0,0.0,2,27
Art,ART,ART 10A,3728,WHEAT N R,9,3,0.0,1,6,0.0,1,0.0,0.0,0.0,3,23
Art,ART,ART 10A,3749,KARMEL L V,9,5,1,0.0,3,0.0,1,0.0,0.0,0.0,4,23
Art,ART,ART 10A,4024,HUERTA R B,10,8,3,0.0,4,0.0,0.0,0.0,0.0,0.0,3,28
Art,ART,ART 10A,4025,MIYANO E,15,5,2,0.0,1,0.0,0.0,0.0,0.0,0.0,6,29
Art,ART,ART 10A,4027,GONZALES L,11,2,1,2,10,0.0,0.0,0.0,0.0,0.0,5,31
Art,ART,ART 10B,1181,BADGER C P,21,2,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,2,29
Art,ART,ART 10B,1182,BADGER C P,16,1,2,0.0,3,1,0.0,0.0,0.0,0.0,2,25
Art,ART,ART 10B,1183,MIYANO E,17,8,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4,30
Art,ART,ART 10C,1184,BADGER C P,14,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,4,24
Art,ART,ART 13,1185,BROMBERG T L,14,5,3,0.0,2,0.0,0.0,0.0,0.0,0.0,4,28
Art,ART,ART 13,1186,HATTON C,16,4,1,0.0,1,0.0,0.0,0.0,0.0,0.0,5,27
Art,ART,ART 13,3730,SILVER E M,8,1,2,0.0,3,0.0,0.0,0.0,0.0,0.0,12,26
Art,ART,ART 13,4028,SILVER E M,18,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,3,25
Art,ART,ART 20A,1188,VICICH G M,5,4,1,2,3,0.0,0.0,0.0,0.0,0.0,7,22
Art,ART,ART 20A,1189,HATTON C,8,5,2,0.0,3,0.0,0.0,0.0,0.0,0.0,11,29
Art,ART,ART 20A,1190,BURCHMAN J H,13,5,3,1,2,0.0,0.0,0.0,0.0,0.0,3,27
Art,ART,ART 20A,1192,KOMPANEYETS M,11,2,5,2,0.0,0.0,0.0,0.0,0.0,0.0,4,24
Art,ART,ART 20A,1193,HATTON C,11,5,3,1,2,0.0,0.0,0.0,0.0,0.0,6,28
Art,ART,ART 20A,1194,ZARCONE J,3,4,2,1,6,0.0,0.0,0.0,0.0,0.0,6,22
Art,ART,ART 20A,1195,VICICH G M,9,6,2,1,4,0.0,0.0,0.0,0.0,0.0,7,29
Art,ART,ART 20A,3677,SIMON D L,6,4,1,3,7,0.0,1,0.0,0.0,0.0,5,27
Art,ART,ART 20A,3732,DEDEAUX-NORRIS T,12,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,21
