Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,Total
Communication and Media Studies,MEDIA,MEDIA 1,2959,MOVIUS L,28,3,1,0.0,2,0.0,0.0,0.0,0.0,0.0,1,35
Communication and Media Studies,MEDIA,MEDIA 1,2960,OBSATZ S B,31,6,0.0,1,2,0.0,0.0,0.0,0.0,0.0,1,41
Communication and Media Studies,MEDIA,MEDIA 1,3703,MOVIUS L,15,3,4,0.0,2,0.0,0.0,0.0,0.0,0.0,7,31
Communication and Media Studies,MEDIA,MEDIA 1,3705,SIMMONS R D,5,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,3,16
Communication and Media Studies,MEDIA,MEDIA 1,4220,CONLEY T,8,5,1,3,4,0.0,0.0,0.0,0.0,0.0,8,29
Communication and Media Studies,MEDIA,MEDIA 2,2961,SCHOFIELD J E,6,4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,12
Communication and Media Studies,MEDIA,MEDIA 2,3674,STOWELL R,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Communication and Media Studies,MEDIA,MEDIA 3,2962,MOVIUS L,11,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,19
Communication and Media Studies,MEDIA,MEDIA 3,2963,MOVIUS L,10,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16
Communication and Media Studies,MEDIA,MEDIA 4,2964,RAZ J G,19,7,3,3,1,0.0,0.0,0.0,0.0,0.0,2,35
Communication and Media Studies,MEDIA,MEDIA 4,2965,RAZ J G,14,8,3,0.0,1,1,0.0,0.0,0.0,0.0,7,34
Communication and Media Studies,MEDIA,MEDIA 10,2966,SCHOFIELD J E,25,4,3,2,2,0.0,0.0,0.0,0.0,0.0,1,37
Communication and Media Studies,MEDIA,MEDIA 10,2967,OBSATZ S B,30,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,33
Communication and Media Studies,MEDIA,MEDIA 10,2968,SCHOFIELD J E,21,6,1,0.0,3,0.0,0.0,1,0.0,0.0,1,33
Communication and Media Studies,MEDIA,MEDIA 10,2969,PERNISCO N,18,3,1,0.0,3,0.0,0.0,0.0,0.0,0.0,4,29
Communication and Media Studies,MEDIA,MEDIA 10,2970,OBSATZ S B,29,10,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,41
Communication and Media Studies,MEDIA,MEDIA 10,2971,OBSATZ S B,29,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,40
Communication and Media Studies,MEDIA,MEDIA 10,2972,STAMBLER L S,11,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22
Communication and Media Studies,MEDIA,MEDIA 10,2976,GOUGIS M J,15,7,2,0.0,1,0.0,0.0,0.0,0.0,0.0,2,27
Communication and Media Studies,MEDIA,MEDIA 10,3689,STAMBLER L S,24,2,2,0.0,0.0,1,1,0.0,0.0,0.0,2,32
Communication and Media Studies,MEDIA,MEDIA 11,2979,SHAW R D,8,10,4,0.0,4,0.0,0.0,1,0.0,0.0,6,33
Communication and Media Studies,MEDIA,MEDIA 13,4221,CARLUCCI M A,9,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,14
Communication and Media Studies,MEDIA,MEDIA 16,2981,CARLUCCI M A,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13
Communication and Media Studies,MEDIA,MEDIA 18,4222,ADELMAN A,2,6,0.0,0.0,1,0.0,0.0,2,0.0,0.0,3,14
Communication and Media Studies,MEDIA,MEDIA 20,2983,SHAW R D,11,4,2,1,4,0.0,0.0,0.0,0.0,0.0,6,28
Communication and Media Studies,MEDIA,MEDIA 20,3679,CAREY R T,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
Communication and Media Studies,MEDIA,MEDIA 20,4317,WEISMAN B S,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
Communication and Media Studies,MEDIA,MEDIA 21,4224,CAPTOR R,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,12
Communication and Media Studies,MEDIA,MEDIA 25,3552,OBSATZ S B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
Communication and Media Studies,MEDIA,MEDIA 46,2984,FETZER G C,8,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,2,13
Communication and Media Studies,MEDIA,MEDIA 88A,3706,GRASS N L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,MEDIA,MEDIA 88B,2986,GRASS N L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,PHOTO,PHOTO 13,3190,BURKHART G J,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Communication and Media Studies,PHOTO,PHOTO 14,3191,BURKHART G J,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cosmetology,COSM,COSM 10A,1618,MANUEL S M,12,6,4,0.0,1,0.0,0.0,0.0,0.0,0.0,3,26
Cosmetology,COSM,COSM 10A,1619,HORN S L,26,1,1,3,1,0.0,0.0,0.0,0.0,0.0,2,34
