Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,W,EW,Total
Art,ART,ART 10A,3366,BADGER C P,9.0,2.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,28
Art,ART,ART 10A,3457,OAKLEY M A,8.0,3.0,4.0,0.0,3.0,1.0,1.0,0.0,5.0,7.0,32
Art,ART,ART 10A,3478,HUERTA R B,3.0,2.0,5.0,0.0,9.0,0.0,1.0,0.0,1.0,3.0,24
Art,ART,ART 10B,1191,MIYANO E,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,17
Art,ART,ART 10B,1192,WHEAT N R,16.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,27
Art,ART,ART 10B,1193,OAKLEY M A,9.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,5.0,24
Art,ART,ART 10C,1194,BADGER C P,7.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,20
Art,ART,ART 10C,1195,BADGER C P,8.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,21
Art,ART,ART 13,1196,GARCIA K F,14.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,25
Art,ART,ART 13,1197,SILVER E M,15.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,23
Art,ART,ART 13,1198,BROMBERG T L,17.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,28
Art,ART,ART 13,3452,SILVER E M,9.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,19
Art,ART,ART 17A,1200,JOLLER G,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,15
Art,ART,ART 17A,1201,BELL JA,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18
Art,ART,ART 17B,1202,JOLLER G,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
Art,ART,ART 17B,1203,BELL JA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
Art,ART,ART 20A,1204,BURCHMAN J H,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,27
Art,ART,ART 20A,1205,OTA N T,8.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,2.0,27
Art,ART,ART 20A,1206,VICICH G M,12.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,29
Art,ART,ART 20A,1207,HUERTA R B,10.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,5.0,24
Art,ART,ART 20A,1208,BURCHMAN J H,17.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,29
Art,ART,ART 20A,1209,VICICH G M,3.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,23
Art,ART,ART 20A,1210,SANTANA T L,9.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,25
Art,ART,ART 20A,1211,HATTON C,8.0,4.0,5.0,1.0,8.0,1.0,0.0,0.0,1.0,2.0,30
Art,ART,ART 20A,1213,HATTON C,9.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,25
Art,ART,ART 20A,1214,HATTON C,9.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0,2.0,24
Art,ART,ART 20A,1215,SIMON D L,3.0,3.0,3.0,2.0,6.0,0.0,1.0,0.0,7.0,1.0,26
Art,ART,ART 20A,3365,KOMPANEYETS M,10.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,22
Art,ART,ART 20A,3453,GONZALES L,9.0,4.0,1.0,0.0,9.0,0.0,2.0,0.0,1.0,2.0,28
Art,ART,ART 20A,3454,BERRY S M,9.0,3.0,2.0,0.0,3.0,0.0,4.0,0.0,2.0,1.0,24
Art,ART,ART 20A,3479,DE ANDA III I,7.0,6.0,1.0,1.0,5.0,0.0,0.0,0.0,8.0,1.0,29
Art,ART,ART 20B,1216,HATTON C,11.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,28
Art,ART,ART 20B,1217,KARLSEN A M,9.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,24
Art,ART,ART 20B,3301,MAMMARELLA C J,16.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,24
Art,ART,ART 21A,1218,TRUJILLO M E,13.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,23
Art,ART,ART 21A,1219,TRUJILLO M E,3.0,4.0,6.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,24
Art,ART,ART 21A,1220,KOMPANEYETS M,10.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,22
Art,ART,ART 21A,4021,MAMMARELLA C J,4.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,14
Art,ART,ART 21B,1221,TRUJILLO M E,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,25
Art,ART,ART 21B,4241,MAMMARELLA C J,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9
Art,ART,ART 30A,1222,SHIBATA J M,8.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,17
Art,ART,ART 30A,1223,AARONS R R,15.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,24
Art,ART,ART 30C,1224,OTA N T,8.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,6.0,26
Art,ART,ART 31,1225,TRUJILLO M E,10.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,20
Art,ART,ART 31,1226,HATTON C,17.0,7.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,33
Art,ART,ART 31,1227,MACKAY A C,8.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,20
Art,ART,ART 31,3316,ZARCONE J,3.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,16
Art,ART,ART 32,1228,MACKAY A C,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5
Art,ART,ART 32,3317,ZARCONE J,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5
Art,ART,ART 34A,1229,ZARCONE J,5.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,21
Art,ART,ART 34B,1230,ZARCONE J,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
Art,ART,ART 40A,1231,SILVER E M,19.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,23
Art,ART,ART 40B,1232,SILVER E M,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
Art,ART,ART 40C,1233,SILVER E M,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5
Art,ART,ART 41A,1234,FRANTZ R,16.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,23
Art,ART,ART 41B,3315,FRANTZ R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
Art,ART,ART 43A,1235,BROMBERG T L,11.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,20
Art,ART,ART 43B,1236,BROMBERG T L,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
Art,ART,ART 52A,1237,PERSON I S,13.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,24
Art,ART,ART 52A,1238,PERSON I S,7.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,19
Art,ART,ART 52A,1239,FRANTZ R,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,24
Art,ART,ART 52B,1240,JIMENEZ J A,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
Art,ART,ART 52B,1241,PERSON I S,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,15
Art,ART,ART 52C,1242,JIMENEZ J A,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
Art,ART,ART 52C,1243,PERSON I S,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6
Art,ART,ART 53A,1244,HACKERMAN I R,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,21
Art,ART,ART 53A,1245,HACKERMAN I R,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20
Art,ART,ART 62,4024,THOMASON M M,14.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,20
Art,ART,ART 75,1247,PERSON I S,3.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,5.0,19
Art,ART,ART 80,3345,SILVER E M,15.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,29
Art,ARTS,ARTS 88A,1248,MEYER W J,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Art,ARTS,ARTS 88B,1249,MEYER W J,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Art,PHOTO,PHOTO 52,4209,MACE J Y,39.0,11.0,11.0,0.0,16.0,0.0,0.0,0.0,4.0,4.0,85
Athletics and Kinesiology,VAR PE,VAR PE 9V,3263,THOMAS J L,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,18
Athletics and Kinesiology,VAR PE,VAR PE 9W,3264,STRONG L M,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
Athletics and Kinesiology,VAR PE,VAR PE 11A,3265,ESKRIDGE B M,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26
Athletics and Kinesiology,VAR PE,VAR PE 11A,3266,MOSICH N W,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23
Athletics and Kinesiology,VAR PE,VAR PE 11A,3267,MOSICH N W,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31
Athletics and Kinesiology,VAR PE,VAR PE 11B,3268,HANK M E,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24
