Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Communication and Media Studies,JOURN,JOURN 15,2508,RUBIN S M,6,4,6,1,1,0.0,0.0,0.0,0.0,3,0.0,21
Communication and Media Studies,JOURN,JOURN 15,2509,RUBIN S M,2,4,4,1,2,0.0,0.0,0.0,0.0,3,0.0,16
Communication and Media Studies,JOURN,JOURN 16,2510,BLAIZE-HOPKINS A N,12,8,4,0.0,0.0,1,0.0,0.0,0.0,4,0.0,29
Communication and Media Studies,JOURN,JOURN 17,2511,BLAIZE-HOPKINS A N,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Communication and Media Studies,JOURN,JOURN 17,2512,BLAIZE-HOPKINS A N,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3
Communication and Media Studies,JOURN,JOURN 21,2513,BURKHART G J,2,0.0,2,1,0.0,0.0,0.0,0.0,0.0,3,0.0,8
Communication and Media Studies,JOURN,JOURN 22,2514,BURKHART G J,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3
Communication and Media Studies,JOURN,JOURN 43,4153,ADELMAN A,9,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,14
Communication and Media Studies,MEDIA,MEDIA 1,2777,CHICAS H K,27,0.0,0.0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,33
Communication and Media Studies,MEDIA,MEDIA 1,2778,BREWINGTON R H,23,3,0.0,1,1,0.0,0.0,0.0,0.0,3,0.0,31
Communication and Media Studies,MEDIA,MEDIA 1,2779,CAPTOR R,9,9,3,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,26
Communication and Media Studies,MEDIA,MEDIA 1,2780,STAMBLER L S,22,4,3,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,32
Communication and Media Studies,MEDIA,MEDIA 1,2781,BREWER S L,32,3,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,39
Communication and Media Studies,MEDIA,MEDIA 1,2782,BREWER S L,25,5,2,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,37
Communication and Media Studies,MEDIA,MEDIA 1,2783,BLAIZE-HOPKINS A N,15,11,4,0.0,3,0.0,0.0,0.0,0.0,2,0.0,35
Communication and Media Studies,MEDIA,MEDIA 1,2784,BREWER S L,29,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,34
Communication and Media Studies,MEDIA,MEDIA 1,2785,DICKINSON L M,20,7,0.0,1,2,0.0,0.0,0.0,0.0,2,0.0,32
Communication and Media Studies,MEDIA,MEDIA 1,2786,BREWER S L,28,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,38
Communication and Media Studies,MEDIA,MEDIA 1,2787,COLEMAN D,11,3,0.0,1,0.0,0.0,0.0,0.0,0.0,5,0.0,20
Communication and Media Studies,MEDIA,MEDIA 1,2789,DICKINSON L M,20,6,4,0.0,1,0.0,0.0,0.0,0.0,2,0.0,33
Communication and Media Studies,MEDIA,MEDIA 1,2791,GOUGIS M J,14,5,4,2,6,0.0,0.0,0.0,0.0,2,0.0,33
Communication and Media Studies,MEDIA,MEDIA 1,2792,RAZ J G,7,8,4,2,0.0,1,0.0,0.0,0.0,4,0.0,26
Communication and Media Studies,MEDIA,MEDIA 1,3332,CONLEY T,9,4,3,0.0,4,0.0,0.0,4,0.0,6,0.0,30
Communication and Media Studies,MEDIA,MEDIA 1,3333,CONLEY T,6,4,1,0.0,4,0.0,0.0,5,0.0,4,0.0,24
Communication and Media Studies,MEDIA,MEDIA 1,3430,OBSATZ S B,44,3,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,49
Communication and Media Studies,MEDIA,MEDIA 1,3460,COLEMAN D,9,4,2,2,2,1,1,0.0,0.0,4,1,26
Communication and Media Studies,MEDIA,MEDIA 2,2794,SCHOFIELD J E,4,3,4,0.0,2,0.0,0.0,0.0,0.0,4,0.0,17
Communication and Media Studies,MEDIA,MEDIA 4,2795,CHICAS H K,30,1,1,1,2,0.0,0.0,0.0,0.0,2,1,38
Communication and Media Studies,MEDIA,MEDIA 4,2796,RAZ J G,20,11,2,0.0,1,0.0,0.0,0.0,0.0,2,0.0,36
