Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Earth Science,GIS,GIS 27,MASON J,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15
Earth Science,GLOBAL,GLOBAL 11,ABATE A,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,13
Earth Science,PV,PV 11,COOLEY S,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16
Earth Science,PV,PV 12,COOLEY S,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,17
Earth Science,RRM,RRM 1,CHARLES V H,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,26
Earth Science,RRM,RRM 2,CHARLES V H,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18
Earth Science,RRM,RRM 3,HULS J M,26.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,35
Earth Science,RRM,RRM 4,SASU S,20.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,28
Earth Science,URBAN,URBAN 8,MORRIS P S,3.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,36
Education and Early Childhood,ECE,ECE 2,ELAM E J,11.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,24
Education and Early Childhood,ECE,ECE 2,GRACE Y H,13.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,32
Education and Early Childhood,ECE,ECE 2,MOSLEY K R,15.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,28
Education and Early Childhood,ECE,ECE 2,POURROY D M,31.0,9.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,53
Education and Early Childhood,ECE,ECE 4,LERNER N F,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
Education and Early Childhood,ECE,ECE 4,LOPEZ JE,7.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,21
Education and Early Childhood,ECE,ECE 5,ANDREWS T D,14.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,22
Education and Early Childhood,ECE,ECE 9,GUNN A C,15.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21
Education and Early Childhood,ECE,ECE 11,BACKLAR N P,15.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,29
Education and Early Childhood,ECE,ECE 11,MILLER CA L,33.0,13.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,60
Education and Early Childhood,ECE,ECE 11,TALLEDA M L,25.0,25.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,61
Education and Early Childhood,ECE,ECE 17,ANDREWS T D,20.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,31
Education and Early Childhood,ECE,ECE 17,BACKLAR N P,9.0,8.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,28
Education and Early Childhood,ECE,ECE 17,ELAM E J,13.0,7.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33
Education and Early Childhood,ECE,ECE 17,RICHARD C,15.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,27
Education and Early Childhood,ECE,ECE 19,DRUKER S L,3.0,5.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,28
Education and Early Childhood,ECE,ECE 19,MILLER CA L,19.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34
Education and Early Childhood,ECE,ECE 21,BACKLAR N P,9.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,20
Education and Early Childhood,ECE,ECE 21,MILLER CA L,16.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,31
Education and Early Childhood,ECE,ECE 22,GRACE Y H,19.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24
Education and Early Childhood,ECE,ECE 22,LOPEZ JE,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
Education and Early Childhood,ECE,ECE 23,JOACHIM S L,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Education and Early Childhood,ECE,ECE 24,HUFF G F,17.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,35
Education and Early Childhood,ECE,ECE 25,GRACE Y H,21.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27
Education and Early Childhood,ECE,ECE 26,MOSLEY K R,11.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21
Education and Early Childhood,ECE,ECE 27,MALDONADO S M,12.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,23
Education and Early Childhood,ECE,ECE 28,MALDONADO S M,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11
Education and Early Childhood,ECE,ECE 29,GRACE Y H,11.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,22
Education and Early Childhood,ECE,ECE 30,HUFF G F,24.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33
Education and Early Childhood,ECE,ECE 32,PARISE W A,17.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,28
Education and Early Childhood,ECE,ECE 41,GUNN A C,15.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22
Education and Early Childhood,ECE,ECE 43,GUNN A C,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19
